date,ADS_Index,NVDA,AMD,INTC,QCOM,Mkt-RF,SMB,HML,RMW,CMA,RF,SP500,T10Y3M,DGS10,OBMMIJUMBO30YF,DEXUSEU,DEXJPUS,DEXUSUK,CBBTCUSD,CBETHUSD,T10YIE,DCOILBRENTEU,VIXCLS,DAAA,DBAA,AMERIBOR,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS1,DCOILWTICO,DHHNGSP,BTC-USD
20230901,0.0374616,48.49033737182617,109.4499969482422,36.00777053833008,113.03157043457033,0.26,0.84,0.59,-0.02,-0.2,0.021,4515.77,-1.35,4.18,7.504,1.0787,146.2,1.2594,25802.02,1628.83,2.26,89.98,13.09,4.94,6.0,5.44715,2.17,3.81,8.28,5.36,85.52,2.7,25800.724609375
20230904,0.0506053,,,,,,,,,,,,,,,,,,25814.79,1628.85,,90.42,13.82,,,5.44715,,3.81,8.28,,,,25812.416015625
20230905,0.0531455,48.5293197631836,110.77999877929688,36.10612106323242,114.16786193847656,-0.54,-1.58,-0.85,-0.32,-0.48,0.021,4496.83,-1.28,4.27,7.444,1.0727,147.63,1.2583,25778.03,1633.25,2.29,91.25,14.01,5.03,6.11,5.44838,2.21,3.83,8.38,5.42,86.74,2.6,25779.982421875
20230906,0.0548037,47.0467643737793,109.27999877929688,36.37167739868164,112.33609008789062,-0.71,0.02,-0.18,-0.45,0.1,0.021,4465.48,-1.25,4.3,7.438,1.0714,147.65,1.2498,25748.1,1632.05,2.3,91.79,14.45,5.03,6.09,5.44099,2.23,3.86,8.47,5.44,87.55,2.49,25753.236328125
20230907,0.0555804,46.22700881958008,106.58999633789062,37.55194091796875,104.22532653808594,-0.4,-0.69,0.03,-0.21,0.0,0.021,4451.14,-1.26,4.27,7.674,1.0704,147.13,1.2485,26267.36,1646.92,2.32,91.16,14.4,5.02,6.08,5.47049,2.24,3.9,8.45,5.4,86.87,2.45,26240.1953125
20230908,0.0554761,45.5582160949707,106.08999633789062,37.38473510742188,103.97062683105467,0.12,-0.51,0.39,0.29,0.01,0.021,4457.49,-1.29,4.26,7.359,1.0709,147.7,1.2476,25906.35,1636.26,2.33,91.85,13.84,5.0,6.05,5.44201,2.26,3.85,8.42,5.42,87.51,2.53,25905.654296875
20230911,0.0491557,45.164337158203125,105.31999969482422,37.955196380615234,108.02601623535156,0.66,-0.47,-0.53,-0.49,-0.34,0.021,4487.46,-1.26,4.29,7.371,1.0744,146.46,1.2529,25161.68,1551.36,2.35,91.97,13.8,5.04,6.09,5.45845,2.26,3.82,8.4,5.4,87.3,2.5,25162.654296875
20230912,0.0440856,44.85642623901367,105.30999755859376,38.22076034545898,108.95660400390624,-0.59,0.2,1.02,0.26,0.24,0.021,4461.9,-1.29,4.27,7.57,1.0726,147.12,1.2477,25852.36,1593.34,2.34,93.58,14.23,5.01,6.06,5.47475,2.27,3.84,8.42,5.42,88.87,2.72,25833.34375
20230913,0.0374114,45.47124481201172,107.70999908447266,38.07322311401367,110.33777618408205,0.03,-0.87,-0.22,0.27,-0.36,0.021,4467.44,-1.3,4.25,7.416,1.0737,147.45,1.2488,26216.13,1607.52,2.35,93.04,13.48,5.0,6.06,5.47456,2.28,3.85,8.41,5.42,88.59,2.76,26228.32421875
20230914,0.0291305,45.56721878051758,106.62999725341795,38.033878326416016,111.70916748046876,0.84,0.49,0.86,0.83,0.02,0.021,4505.1,-1.26,4.29,7.241,1.066,147.17,1.241,26531.31,1626.97,2.34,95.2,12.82,5.05,6.09,5.4939,2.27,3.78,8.35,5.42,90.13,2.81,26539.673828125
20230915,0.0192397,43.88672256469727,101.48999786376952,37.256874084472656,110.82756042480467,-1.21,0.21,0.25,-0.32,0.48,0.021,4450.32,-1.23,4.33,7.397,1.0673,147.83,1.2392,26620.02,1642.53,2.35,95.55,13.79,5.07,6.11,5.48798,2.27,3.79,8.4,5.43,90.83,2.74,26608.693359375
20230918,-0.0192679,43.95269775390625,102.37000274658205,37.36506652832031,110.44552612304688,-0.04,-0.81,-0.19,0.21,-0.05,0.021,4453.53,-1.23,4.32,7.503,1.0695,147.63,1.2403,26767.54,1637.09,2.36,95.95,14.0,5.08,6.09,5.50091,2.29,3.82,8.43,5.44,91.47,2.54,26754.28125
20230919,-0.0339128,43.5068359375,101.61000061035156,35.742210388183594,108.45702362060548,-0.27,-0.11,-0.01,0.34,0.31,0.021,4443.95,-1.17,4.37,7.397,1.0684,147.8,1.2393,27199.35,1642.82,2.37,96.11,14.11,5.1,6.12,5.51098,2.3,3.82,8.48,5.45,91.16,2.46,27211.1171875
20230920,-0.0493272,42.22622680664063,100.33999633789062,34.11935043334961,106.98768615722656,-0.95,-0.05,0.27,0.26,0.5,0.021,4402.2,-1.21,4.35,7.442,1.0715,147.74,1.2389,27119.41,1622.0,2.35,94.56,15.14,5.07,6.08,5.48672,2.27,3.77,8.47,5.47,89.2,2.78,27132.0078125
20230921,-0.065517,41.00459671020508,96.11000061035156,34.08000946044922,105.75343322753906,-1.69,0.34,0.38,0.55,0.14,0.021,4330.0,-1.08,4.49,7.631,1.0664,147.42,1.2299,26567.29,1584.04,2.38,93.7,17.54,5.21,6.15,5.52178,2.29,3.89,8.64,5.46,89.56,2.7,26567.6328125
20230922,-0.0824883,41.597412109375,96.1999969482422,33.61774063110352,105.47915649414062,-0.25,-0.09,-0.5,0.17,-0.18,0.021,4320.06,-1.12,4.44,7.658,1.066,148.24,1.2257,26582.63,1593.22,2.37,93.99,17.2,5.15,6.17,5.51339,2.29,3.93,8.62,5.46,90.0,2.63,26579.568359375
20230925,-0.138169,42.209232330322266,97.37999725341795,33.725929260253906,108.17294311523438,0.39,-0.07,0.35,0.59,-0.46,0.021,4337.44,-1.03,4.55,7.641,1.0591,148.74,1.2218,26296.86,1587.9,2.37,94.01,16.9,5.29,6.3,5.52945,2.25,3.97,8.72,5.45,89.68,2.63,26298.48046875
20230926,-0.158358,41.89832305908203,95.95999908447266,33.27350234985352,107.47746276855467,-1.46,0.35,-0.5,-0.36,-0.08,0.021,4273.53,-1.02,4.56,7.676,1.0573,148.9,1.2168,26200.13,1592.46,2.33,94.46,18.94,5.32,6.33,5.52364,2.2,4.04,8.8,5.45,91.43,2.55,26217.25
20230927,-0.179374,42.45515441894531,98.06999969482422,34.040672302246094,106.9582977294922,0.13,0.78,0.12,0.18,-0.27,0.021,4274.51,-0.97,4.61,7.697,1.051,149.48,1.2133,26351.82,1596.96,2.34,97.1,18.22,5.38,6.38,5.50748,2.23,4.03,8.85,5.49,93.67,2.72,26352.716796875
20230928,-0.201228,43.075965881347656,102.76000213623048,34.60129165649414,108.82925415039062,0.65,0.19,0.03,0.43,-0.03,0.021,4299.7,-0.97,4.59,7.591,1.0578,149.18,1.2223,27035.82,1653.08,2.39,96.64,17.34,5.38,6.39,5.49542,2.27,4.09,8.84,5.46,91.65,2.74,27021.546875
20230929,-0.223926,43.48584365844727,102.81999969482422,34.96520233154297,108.79006958007812,-0.27,-0.02,0.3,-0.18,-0.15,0.021,4288.05,-0.96,4.59,7.597,1.0584,149.43,1.2214,26900.3,1666.74,2.35,95.86,17.52,5.36,6.37,5.52738,2.22,4.03,8.77,5.46,90.77,2.68,26911.720703125
20231002,-0.294784,44.76845550537109,103.2699966430664,34.87668228149414,108.82925415039062,-0.14,-1.28,-1.05,0.86,-0.52,0.021,4288.39,-0.93,4.69,7.563,1.05,149.8,1.213,27517.12,1663.11,2.35,91.21,17.61,5.46,6.47,5.48104,2.23,4.11,8.96,5.49,88.81,2.7,27530.78515625
20231003,-0.316161,43.50383377075195,100.08000183105467,35.10289764404297,107.93785858154295,-1.5,-0.26,-0.14,0.29,0.15,0.021,4229.45,-0.81,4.81,7.952,1.0453,149.16,1.2069,27421.92,1657.34,2.36,94.46,19.78,5.6,6.63,5.48738,2.21,4.26,9.19,5.49,89.26,2.71,27429.978515625
20231004,-0.336032,44.02768325805664,104.06999969482422,35.338951110839844,107.60481262207033,0.77,-0.53,-0.39,-0.39,-0.33,0.021,4263.75,-0.88,4.73,7.709,1.0518,148.83,1.2157,27782.29,1646.37,2.33,89.83,18.58,5.55,6.56,5.4913,2.18,4.37,9.21,5.42,84.32,2.92,27799.39453125
20231005,-0.354405,44.67448425292969,102.91000366210938,35.29960632324219,107.55582427978516,-0.15,0.28,0.08,-0.45,-0.12,0.021,4258.19,-0.89,4.72,7.641,1.0527,148.49,1.2171,27419.39,1612.3,2.31,88.28,18.49,5.56,6.57,5.49868,2.14,4.38,9.2,5.39,82.3,2.92,27415.912109375
20231006,-0.371287,45.7481575012207,107.23999786376952,35.59467697143555,108.61375427246094,1.21,-0.44,-0.55,-0.32,-0.52,0.021,4308.5,-0.85,4.78,7.629,1.0596,149.08,1.2255,27949.12,1646.04,2.31,87.86,17.45,5.6,6.62,5.50475,2.17,4.33,9.22,5.43,82.83,3.3,27946.59765625
